id,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,availability_365
733654,3823268,Geerke,Centrum-Oost,52.370979999999996,4.9227,Entire home/apt,150,0
740616,3846003,Patricia And Carlos,Centrum-Oost,52.362559999999995,4.9108,Private room,99,0
741043,3877342,Nicole,Westerpark,52.376540000000006,4.87003,Entire home/apt,399,242
742160,1582128,Jorn,Centrum-Oost,52.36866,4.92071,Entire home/apt,843,256
744386,3899684,City Apartments Amsterdam,Centrum-Oost,52.36063,4.90146,Entire home/apt,125,12
744574,3899684,City Apartments Amsterdam,Centrum-Oost,52.37211,4.903519999999999,Entire home/apt,199,31
744659,3518386,Kristel,Oud-Oost,52.356590000000004,4.90827,Private room,103,334
746067,3713242,Barbara,Centrum-West,52.38295,4.8872599999999995,Entire home/apt,136,2
747847,3548522,Susanne,De Baarsjes - Oud-West,52.361309999999996,4.8519,Private room,60,1
754020,3966326,Hf,De Pijp - Rivierenbuurt,52.348290000000006,4.91047,Entire home/apt,165,4
754613,3970753,Take & Eline,Centrum-Oost,52.372659999999996,4.90456,Entire home/apt,173,111
755431,3975477,Anna And Robert,De Baarsjes - Oud-West,52.37066,4.87405,Private room,110,213
758475,1387938,Mathi,De Baarsjes - Oud-West,52.36827,4.87107,Entire home/apt,100,0
759060,4000086,Ingo & Marlies,Centrum-West,52.367540000000005,4.88733,Entire home/apt,325,0
759299,3548522,Susanne,De Baarsjes - Oud-West,52.36115,4.8520900000000005,Entire home/apt,225,99
759402,4002861,Fleur,Centrum-West,52.36652,4.87854,Entire home/apt,180,5
760074,3661217,Dorien,Oostelijk Havengebied - Indische Buurt,52.36501,4.93792,Entire home/apt,90,0
761411,4013546,Xsjong,Noord-Oost,52.40164,4.95106,Private room,57,280
768274,3678216,J & R,Westerpark,52.38855,4.88521,Entire home/apt,250,99
768737,3877342,Nicole,Westerpark,52.378240000000005,4.86826,Private room,109,108
771217,4068486,Danielle,Zuid,52.34091,4.84802,Entire home/apt,250,0
771343,2313061,Marcel,Centrum-West,52.37641,4.883030000000001,Private room,89,128
775655,4091515,Karin,Centrum-Oost,52.370259999999995,4.89931,Private room,118,219
778820,4106698,Co,De Baarsjes - Oud-West,52.35982,4.85635,Entire home/apt,110,0
780674,4117326,Bas,Centrum-Oost,52.36855,4.90766,Entire home/apt,149,10
782254,4125951,Daniela,Centrum-West,52.37142,4.89036,Entire home/apt,399,103
785432,2586026,Nathalie,Centrum-Oost,52.368559999999995,4.89896,Entire home/apt,200,209
794322,4184910,Lydia,Centrum-Oost,52.37048,4.90385,Private room,133,191
800723,4215174,Hinde,De Baarsjes - Oud-West,52.368840000000006,4.861269999999999,Entire home/apt,150,135
